Municipio;Código Parada;Facturación Octubre
Alcalá de Henares;6948;€37,70
Alcalá de Henares;6991;€37,70
Alcalá de Henares;7022;€37,70
Alcalá de Henares;7023;€37,70
Alcalá de Henares;7027;€37,70
Alcalá de Henares;7029;€37,70
Alcalá de Henares;7039;€37,70
Alcalá de Henares;7040;€37,70
Alcalá de Henares;7043;€37,70
Alcalá de Henares;7219;€37,70
Alcalá de Henares;9454;€37,70
Alcalá de Henares;12655;€37,70
Alcalá de Henares;19153;€37,70
Alcalá de Henares;19416;€37,70
Alcalá de Henares;20397 (171);€37,70
Alcalá de Henares;20397 (172);€37,70
Alcalá de Henares;9657 (47);€37,70
Alcalá de Henares;9657 (48);€37,70
Alcalá de Henares;TFT Hosp.Principe de Asturias Alcalá de Henares;€37,70
Alcobendas;6759;€37,70
Alcobendas;6762;€37,70
Alcobendas;6763;€37,70
Alcobendas;6766;€37,70
Alcobendas;7527;€37,70
Alcobendas;8362;€37,70
Alcobendas;10614;€37,70
Alcobendas;11798;€37,70
Alcobendas;12724;€37,70
Alcobendas;17512;€37,70
Alcobendas;06692A;€37,70
Alcobendas;06692B;€37,70
Alcobendas;06755A;€37,70
Alcobendas;06755B;€37,70
Alcobendas;06768A;€37,70
Alcobendas;06768B;€37,70
Alcobendas;06768C;€37,70
Alcorcón;8484;€37,70
Alcorcón;8494;€37,70
Alcorcón;8499;€37,70
Alcorcón;8508;€37,70
Alcorcón;8509;€37,70
Alcorcón;8542;€37,70
Alcorcón;8543;€37,70
Alcorcón;11772;€37,70
Alcorcón;11773;€37,70
Alcorcón;12410;€37,70
Alcorcón;13178;€37,70
Alcorcón;11770A;€37,70
Alcorcón;11770B;€37,70
Alcorcón;11779;€37,70
Aldea del Fresno;10118;€37,70
Algete;6741;€37,70
Algete;6744;€37,70
Algete;11698;€37,70
Alpedrete;10174;€37,70
Alpedrete;12513;€37,70
Alpedrete;17969;€37,70
Anchuelo;7388;€37,70
Aranjuez;9568;€37,70
Aranjuez;9571;€37,70
Aranjuez;9572;€37,70
Aranjuez;9583;€37,70
Aranjuez;9588;€37,70
Aranjuez;9594;€37,70
Aranjuez;9595;€37,70
Aranjuez;17433;€37,70
Aranjuez;TFT Hosp.Aranjuez;€37,70
Arganda del Rey;7455;€37,70
Arganda del Rey;7464;€37,70
Arganda del Rey;10634;€37,70
Arganda del Rey;11312;€37,70
Arganda del Rey;16722;€37,70
Arganda del Rey;07461 (dcha);€37,70
Arganda del Rey;07461 (izq);€37,70
Arganda del Rey;07462 (dcha);€37,70
